0 OPEN 
96 IMPLICATION 13e542b316cd3849859d420b8fdb8b67_bfb03476bec6c23e9cbfe90a2dcb34fe
122 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_f24dd61a0468d89498521992d97d9c43
126 Z3QUERY 9ddd0adea662f65c970a7d6db7904cf4
138 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
139 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_e10ae15e98f3f2e3128c8ea34d317d2c
142 Z3QUERY 34bc661a3ac5f2371ed6e6465701d86b
152 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
163 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_3bf547045085906bd4945bcfba337962
166 Z3QUERY b83218c3d47913aee35febc3076c87b5
179 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
180 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_f4ed9cfe70250d7a1f957fa631b02a84
183 Z3QUERY 9be1dc7be6a4f9610aef3de529ea0401
193 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
261 IMPLICATION 7678fa356e159862a113c619487d9b9c_bfb03476bec6c23e9cbfe90a2dcb34fe
669 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_6956905869c897a2567ae252617fe5dd
671 Z3QUERY 2a649f58d0fc88c09d477a72f7d91457
681 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
683 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_7f640f4edc732f473a4d0fa41d7f22ac
686 Z3QUERY ebe29e658a483faf51f352343c2087a3
696 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
698 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_7c27cc2e9ce735718b81f653d836ac17
700 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_c1a2dd5bddd3fb7bf7ebc98c11d57743
703 Z3QUERY 6abdf922701c6d92b7965ec7d1ace88e
713 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
714 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_a70b457466e0db047f0af789383c27d6
724 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_4c0c4c89869cf40fb9e2827379668f8d
737 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_1a86fa0074908d0e2bae88b0f8bff672
742 Z3QUERY a15c355990b9ea164ec94243e5d4883a
756 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
757 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_f7184dd8c90770567474f6fd67a63040
759 Z3QUERY afa5fe83535c528154e7b6dc5b31f736
770 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
818 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_d65b3a73a1e8094781738921806d2559
820 Z3QUERY 7d83e90d681639e9538094da28079266
829 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
830 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_ffb539fb6eb04132026782d739752683
833 Z3QUERY dcf8866b9d9ea9e7bd6372ac55cfb031
842 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
887 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_9bf3b8a8e5d1d4e59a5065fbc5fb1a6a
889 Z3QUERY 8e718fbde5901ffd33b8d46386a22f39
899 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
950 REACHINIT 7a3cc9072c2209897310ee6502cb575c_b5bd5d623b2dd7db0e371cc5f4c45793
951 REACHTARGET d54e1ae4fd66ee94f666d80e16c68ca_b2faf29fd18ae0e937847e9ea30dff10
