0 OPEN 
84 IMPLICATION 13e542b316cd3849859d420b8fdb8b67_bfb03476bec6c23e9cbfe90a2dcb34fe
101 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_f24dd61a0468d89498521992d97d9c43
105 Z3QUERY d90bdba34bd822361f78a647045fad34
119 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
119 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_e10ae15e98f3f2e3128c8ea34d317d2c
121 Z3QUERY 758333d548f0b87ae5e273c94c1a88ef
132 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
536 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_3bf547045085906bd4945bcfba337962
539 Z3QUERY b674184e724db522106478f8c16e9ef6
551 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
552 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_f4ed9cfe70250d7a1f957fa631b02a84
554 Z3QUERY 74f7dcdd5a994cf49d3b8cc20399c519
565 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
637 IMPLICATION 7678fa356e159862a113c619487d9b9c_bfb03476bec6c23e9cbfe90a2dcb34fe
659 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_6956905869c897a2567ae252617fe5dd
662 Z3QUERY a1050613c09768172163d1cf8e790955
674 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
675 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_7f640f4edc732f473a4d0fa41d7f22ac
678 Z3QUERY 27759c57cc5d636d97237f5a4a05cb3e
693 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
694 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_7c27cc2e9ce735718b81f653d836ac17
696 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_c1a2dd5bddd3fb7bf7ebc98c11d57743
699 Z3QUERY 9259e017f925e2afe9453cf7274bb0a3
712 Z3RESULT 45cec7a8980d692f6f476a7f4180b15a
713 IMPLICATION 5aa04bdfc3b88ede6959c42593e3d227_a70b457466e0db047f0af789383c27d6
722 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_4c0c4c89869cf40fb9e2827379668f8d
733 IMPLICATION b2faf29fd18ae0e937847e9ea30dff10_1a86fa0074908d0e2bae88b0f8bff672
